tm,warning_type,주의보_개수
2020-12-20,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-21,"건조주의보, 태풍주의보, 호우주의보",3
2020-12-22,"태풍주의보, 호우주의보",2
2020-12-23,"태풍주의보, 호우주의보",2
2020-12-24,"태풍주의보, 호우주의보",2
2020-12-25,"태풍주의보, 호우주의보",2
2020-12-26,"태풍주의보, 호우주의보",2
2020-12-27,"태풍주의보, 호우주의보",2
2020-12-28,"태풍주의보, 호우주의보",2
2020-12-29,"태풍주의보, 호우주의보",2
2020-12-30,"태풍주의보, 풍랑주의보, 호우주의보",3
2020-12-31,"태풍주의보, 풍랑주의보, 호우주의보",3
2021-01-01,"태풍주의보, 호우주의보",2
2021-01-02,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-03,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-04,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-05,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-06,"건조주의보, 대설주의보, 태풍주의보, 풍랑주의보, 호우주의보",5
2021-01-07,"강풍주의보, 건조주의보, 대설주의보, 태풍주의보, 풍랑주의보, 호우주의보",6
2021-01-08,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-09,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-10,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-11,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-12,"태풍주의보, 호우주의보",2
2021-01-13,"태풍주의보, 풍랑주의보, 호우주의보",3
2021-01-14,"태풍주의보, 풍랑주의보, 호우주의보",3
2021-01-15,"태풍주의보, 호우주의보",2
2021-01-16,"태풍주의보, 풍랑주의보, 호우주의보",3
2021-01-17,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-01-18,"강풍주의보, 건조주의보, 대설주의보, 태풍주의보, 호우주의보",5
2021-01-19,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-20,"건조주의보, 태풍주의보, 호우주의보",3
2021-01-21,"태풍주의보, 호우주의보",2
2021-01-22,"태풍주의보, 호우주의보",2
2021-01-23,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-01-24,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-01-25,"태풍주의보, 풍랑주의보, 호우주의보",3
2021-01-26,"태풍주의보, 호우주의보",2
2021-01-27,"태풍주의보, 호우주의보",2
2021-01-28,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-01-29,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-01-30,"태풍주의보, 호우주의보",2
2021-01-31,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-01,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-02,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-03,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-04,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-05,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-06,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-07,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-08,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-09,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-10,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-11,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-12,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-13,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-14,"건조주의보, 태풍주의보, 호우주의보",3
2021-02-15,"강풍주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-16,"강풍주의보, 대설주의보, 태풍주의보, 풍랑주의보, 호우주의보",5
2021-02-17,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-18,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-19,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-20,"강풍주의보, 건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",5
2021-02-21,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-22,"건조주의보, 태풍주의보, 풍랑주의보, 호우주의보",4
2021-02-23,"건조주의보, 태풍주의보, 한파주의보, 호우주의보",4
2021-02-24,"건조주의보, 태풍주의보, 한파주의보, 호우주의보",4
2021-02-25,"건조주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-02-26,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-02-27,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보, 호우주의보",5
2021-02-28,"태풍주의보, 한파주의보, 호우주의보",3
2021-03-01,"강풍주의보, 태풍주의보, 한파주의보, 호우주의보",4
2021-03-02,"강풍주의보, 태풍주의보, 한파주의보",3
2021-03-03,"태풍주의보, 한파주의보",2
2021-03-04,"태풍주의보, 한파주의보",2
2021-03-05,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-06,"강풍주의보, 태풍주의보, 풍랑주의보, 한파주의보",4
2021-03-07,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-08,"태풍주의보, 한파주의보",2
2021-03-09,"태풍주의보, 한파주의보",2
2021-03-10,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-11,"태풍주의보, 한파주의보",2
2021-03-12,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-13,"태풍주의보, 풍랑주의보, 한파주의보",3
2021-03-14,"태풍주의보, 한파주의보",2
