시군구,사고월,사고일,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
북구,08월,사망[명],0,0,0,-,0,-,0,0,0,0,0,0,0,-,-,-,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0
북구,08월,부상[명],5,1,5,-,1,-,3,3,7,3,1,1,3,-,-,-,1,4,-,7,2,4,1,8,1,3,4,4,-,7,1
북구,08월,(중상자[명]),1,0,0,-,0,-,1,2,0,1,0,0,1,-,-,-,0,2,-,4,1,3,0,0,0,0,2,2,-,3,1
북구,09월,사고[건],2,2,3,1,1,1,2,2,2,2,2,2,2,2,4,1,1,2,3,-,2,2,3,1,3,3,1,3,2,1,-
북구,09월,사망[명],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,1,0,0,0,0,-
북구,09월,부상[명],2,3,3,1,2,1,3,2,3,3,2,2,3,2,4,1,3,3,7,-,2,3,3,3,4,3,1,3,2,1,-
북구,09월,(중상자[명]),0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,-,1,1,3,2,1,0,1,1,1,0,-
북구,10월,사고[건],2,1,1,2,1,3,1,6,-,2,1,2,1,3,-,4,4,1,1,-,3,1,2,1,3,5,2,1,5,1,3
북구,10월,사망[명],0,0,0,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0
북구,10월,부상[명],2,4,2,2,1,3,1,6,-,3,3,2,1,4,-,4,7,1,2,-,3,1,4,1,5,6,4,1,5,1,3
북구,10월,(중상자[명]),0,0,0,0,0,0,0,2,-,0,0,0,0,1,-,1,0,0,0,-,0,0,0,1,0,2,1,1,4,0,2
해운대구,05월,사고[건],2,3,1,5,2,2,1,5,3,4,5,3,2,4,2,2,3,-,3,2,2,2,-,2,-,4,2,5,4,5,5
해운대구,05월,사망[명],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0,-,0,-,0,0,0,0,0,0
해운대구,05월,부상[명],5,6,1,6,2,2,1,6,6,8,7,3,2,4,2,3,7,-,4,3,2,2,-,3,-,4,2,7,5,7,9
해운대구,05월,(중상자[명]),1,1,1,2,1,1,0,2,2,1,3,2,1,1,0,0,1,-,0,1,0,1,-,0,-,1,0,1,2,2,0
해운대구,06월,사고[건],2,2,1,2,-,1,1,4,3,1,3,4,2,2,4,2,3,2,6,5,-,4,1,7,2,-,3,3,1,1,-
해운대구,06월,사망[명],0,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-
해운대구,06월,부상[명],2,2,1,4,-,1,2,4,5,1,3,5,6,3,6,2,3,2,9,5,-,4,2,8,2,-,4,3,1,1,-
